target,protocol,matches,shared_ips_count,overlap_percent,unmatched_forward,unmatched_reverse
185.131.204.20,ICMP,[],0,0.0,"['84.20.39.214', '10.50.3.9', '84.20.40.252', '172.17.0.1', '191.112.0.1', '213.140.43.206', '84.116.132.177', '185.131.204.20', '10.50.3.21', '192.168.1.1', '176.52.248.55', '212.161.150.165']","['84.20.39.213', '84.116.202.105', '176.52.248.137', '94.142.127.43', '186.105.96.1', '212.161.247.131', '84.116.134.21', '185.131.204.1', '84.20.40.250', '213.46.182.1', '5.53.1.63', '191.112.23.7']"
185.131.204.20,UDP,[],0,0.0,"['213.140.39.160', '84.20.39.214', '10.50.3.10', '84.20.40.252', '172.17.0.1', '191.112.0.1', '84.116.132.177', '185.131.204.20', '10.50.3.21', '192.168.1.1', '213.46.186.17', '212.161.150.165']","['84.20.39.213', '84.116.202.105', '193.0.14.129', '212.161.247.131', '84.116.134.141', '212.25.28.235', '185.131.204.1', '212.25.28.238', '84.20.40.250', '84.116.211.138']"
185.131.204.20,TCP,[],0,0.0,"['84.20.39.214', '10.50.3.10', '10.50.3.9', '84.20.40.252', '172.17.0.1', '191.112.0.1', '84.116.132.177', '185.131.204.20', '10.50.3.21', '192.168.1.1', '176.52.248.55', '212.161.150.165']",['185.131.204.1']
5.161.76.19,ICMP,['5.161.9.171'],1,3.8461538461538463,"['213.140.39.160', '62.115.56.201', '10.50.3.10', '10.50.3.9', '62.115.120.176', '172.17.0.1', '191.112.0.1', '213.140.43.206', '5.161.0.86', '10.50.3.21', '192.168.1.1', '62.115.123.125', '94.142.98.131']","['129.250.5.6', '186.105.96.1', '129.250.5.45', '157.238.230.238', '129.250.8.118', '213.140.49.246', '172.31.1.1', '5.53.1.63', '5.161.0.193', '191.112.23.7', '94.142.118.10', '5.161.0.85']"
5.161.76.19,UDP,[],0,0.0,"['10.50.3.21', '192.168.1.1', '10.50.3.9', '172.17.0.1', '191.112.0.1']","['129.250.5.6', '186.105.96.1', '5.161.0.81', '129.250.5.45', '157.238.230.238', '129.250.8.118', '172.31.1.1', '5.161.0.145', '5.53.1.63', '5.161.9.171', '191.112.23.7']"
5.161.76.19,TCP,['5.161.9.171'],1,4.166666666666666,"['62.115.56.201', '10.50.3.10', '10.50.3.9', '62.115.120.176', '172.17.0.1', '191.112.0.1', '10.50.3.21', '192.168.1.1', '5.161.0.82', '176.52.248.55', '62.115.123.125']","['129.250.5.6', '186.105.96.1', '5.161.0.81', '129.250.5.45', '157.238.230.238', '129.250.8.118', '213.140.49.246', '172.31.1.1', '5.161.0.145', '5.53.1.63', '191.112.23.7', '94.142.118.10']"
80.77.4.60,ICMP,[],0,0.0,"['85.95.25.93', '62.115.57.79', '80.77.4.60', '62.216.128.210', '10.50.3.9', '62.115.120.176', '172.17.0.1', '191.112.0.1', '62.115.112.71', '62.216.131.30', '10.50.3.21', '192.168.1.1', '62.115.136.200', '85.95.26.222', '94.142.98.131']","['191.112.23.7', '186.105.96.1', '84.16.12.158', '5.53.1.63', '85.95.25.94', '94.142.127.10', '80.77.4.57', '94.142.118.10', '94.142.107.214', '62.115.187.124']"
80.77.4.60,UDP,[],0,0.0,"['213.140.43.234', '85.95.25.93', '62.115.57.79', '80.77.4.60', '62.216.128.210', '172.17.0.1', '62.216.131.30', '10.50.3.21', '192.168.1.1', '62.115.119.230', '10.50.3.22', '94.142.107.213', '191.112.0.1', '62.115.112.69', '85.95.26.166', '62.115.139.34']","['191.112.23.7', '94.142.127.43', '186.105.96.1', '213.140.38.243', '213.140.35.116', '85.95.25.94', '5.53.1.63', '80.77.4.57', '94.142.118.10', '94.142.107.214', '62.115.187.124']"
80.77.4.60,TCP,[],0,0.0,"['213.140.43.234', '5.53.0.144', '62.115.57.79', '62.216.131.154', '85.95.25.93', '62.216.128.214', '80.77.4.60', '172.17.0.1', '10.50.3.21', '192.168.1.1', '62.115.136.200', '85.95.26.222', '10.50.3.22', '10.50.3.9', '62.115.120.176', '62.115.112.71', '191.112.0.1']","['191.112.23.7', '186.105.96.1', '84.16.12.158', '5.53.1.63', '85.95.25.94', '94.142.127.10', '80.77.4.57', '94.142.107.214', '62.115.187.124']"
130.104.228.159,ICMP,[],0,0.0,"['192.168.1.1', '10.50.3.9', '172.17.0.1', '191.112.0.1', '130.104.228.159']","['10.255.218.62', '130.117.1.46', '154.25.12.245', '154.54.57.165', '213.140.35.116', '213.140.39.30', '5.53.1.63', '10.255.218.1', '10.28.87.213', '94.142.127.43', '186.105.96.1', '130.104.228.253', '10.255.235.51', '193.191.3.85', '191.112.23.7', '94.142.118.10']"
130.104.228.159,UDP,[],0,0.0,"['212.133.24.90', '193.191.3.86', '172.17.0.1', '191.112.0.1', '130.104.228.159', '10.50.3.21', '192.168.1.1', '10.50.3.22', '171.75.8.23']","['10.255.218.62', '130.117.1.46', '154.25.12.245', '154.54.57.165', '213.140.35.116', '213.140.39.30', '5.53.1.63', '10.255.218.1', '10.28.87.213', '94.142.127.43', '186.105.96.1', '130.104.228.253', '10.255.235.51', '193.191.3.85', '191.112.23.7', '94.142.118.10']"
130.104.228.159,TCP,[],0,0.0,"['213.140.39.160', '212.133.24.90', '10.50.3.9', '172.17.0.1', '191.112.0.1', '130.104.228.159', '171.75.8.23', '10.50.3.21', '192.168.1.1', '193.191.3.86', '94.142.98.131']","['10.255.218.62', '94.142.127.43', '186.105.96.1', '130.104.228.253', '130.117.0.166', '10.255.235.51', '193.191.3.85', '154.25.12.245', '5.53.1.63', '213.140.39.30', '10.255.218.1', '130.117.48.233', '191.112.23.7', '10.28.87.213']"
