IP1,IP2,ASN
130.104.228.253,193.191.3.85,2611
130.104.228.253,130.104.228.253,2611
130.104.228.253,193.191.3.85,2611
130.104.228.253,130.104.228.253,2611
130.104.228.253,193.191.3.85,2611
10.255.235.51,10.255.218.62,No AS found
10.255.235.51,10.255.218.1,No AS found
10.255.235.51,10.28.87.213,No AS found
10.255.235.51,10.255.235.51,No AS found
10.255.235.51,10.255.218.62,No AS found
10.255.235.51,10.255.218.1,No AS found
10.255.235.51,10.28.87.213,No AS found
10.255.235.51,10.255.235.51,No AS found
10.255.235.51,10.255.218.62,No AS found
10.255.235.51,10.255.218.1,No AS found
10.255.235.51,10.28.87.213,No AS found
10.255.218.62,10.255.218.1,No AS found
10.255.218.62,10.28.87.213,No AS found
10.255.218.62,10.255.235.51,No AS found
10.255.218.62,10.255.218.62,No AS found
10.255.218.62,10.255.218.1,No AS found
10.255.218.62,10.28.87.213,No AS found
10.255.218.62,10.255.235.51,No AS found
10.255.218.62,10.255.218.62,No AS found
10.255.218.62,10.255.218.1,No AS found
10.255.218.62,10.28.87.213,No AS found
10.255.218.1,10.28.87.213,No AS found
10.255.218.1,10.255.235.51,No AS found
10.255.218.1,10.255.218.62,No AS found
10.255.218.1,10.255.218.1,No AS found
10.255.218.1,10.28.87.213,No AS found
10.255.218.1,10.255.235.51,No AS found
10.255.218.1,10.255.218.62,No AS found
10.255.218.1,10.255.218.1,No AS found
10.255.218.1,10.28.87.213,No AS found
193.191.3.85,130.104.228.253,2611
193.191.3.85,193.191.3.85,2611
193.191.3.85,130.104.228.253,2611
193.191.3.85,193.191.3.85,2611
10.28.87.213,10.255.235.51,No AS found
10.28.87.213,10.255.218.62,No AS found
10.28.87.213,10.255.218.1,No AS found
10.28.87.213,10.28.87.213,No AS found
10.28.87.213,10.255.235.51,No AS found
10.28.87.213,10.255.218.62,No AS found
10.28.87.213,10.255.218.1,No AS found
10.28.87.213,10.28.87.213,No AS found
154.25.12.245,154.54.57.165,174
154.25.12.245,130.117.1.46,174
154.25.12.245,154.25.12.245,174
154.25.12.245,154.54.57.165,174
154.25.12.245,130.117.1.46,174
154.25.12.245,154.25.12.245,174
154.25.12.245,130.117.48.233,174
154.25.12.245,130.117.0.166,174
154.54.57.165,130.117.1.46,174
154.54.57.165,154.25.12.245,174
154.54.57.165,154.54.57.165,174
154.54.57.165,130.117.1.46,174
154.54.57.165,154.25.12.245,174
154.54.57.165,130.117.48.233,174
154.54.57.165,130.117.0.166,174
130.117.1.46,154.25.12.245,174
130.117.1.46,154.54.57.165,174
130.117.1.46,130.117.1.46,174
130.117.1.46,154.25.12.245,174
130.117.1.46,130.117.48.233,174
130.117.1.46,130.117.0.166,174
213.140.39.30,94.142.127.43,12956
213.140.39.30,213.140.35.116,12956
213.140.39.30,94.142.118.10,12956
213.140.39.30,5.53.1.63,12956
213.140.39.30,213.140.39.30,12956
213.140.39.30,94.142.127.43,12956
213.140.39.30,213.140.35.116,12956
213.140.39.30,94.142.118.10,12956
213.140.39.30,5.53.1.63,12956
213.140.39.30,213.140.39.30,12956
213.140.39.30,94.142.127.43,12956
213.140.39.30,5.53.1.63,12956
94.142.127.43,213.140.35.116,12956
94.142.127.43,94.142.118.10,12956
94.142.127.43,5.53.1.63,12956
94.142.127.43,213.140.39.30,12956
94.142.127.43,94.142.127.43,12956
94.142.127.43,213.140.35.116,12956
94.142.127.43,94.142.118.10,12956
94.142.127.43,5.53.1.63,12956
94.142.127.43,213.140.39.30,12956
94.142.127.43,94.142.127.43,12956
94.142.127.43,5.53.1.63,12956
213.140.35.116,94.142.118.10,12956
213.140.35.116,5.53.1.63,12956
213.140.35.116,213.140.39.30,12956
213.140.35.116,94.142.127.43,12956
213.140.35.116,213.140.35.116,12956
213.140.35.116,94.142.118.10,12956
213.140.35.116,5.53.1.63,12956
213.140.35.116,213.140.39.30,12956
213.140.35.116,94.142.127.43,12956
213.140.35.116,5.53.1.63,12956
94.142.118.10,5.53.1.63,12956
94.142.118.10,213.140.39.30,12956
94.142.118.10,94.142.127.43,12956
94.142.118.10,213.140.35.116,12956
94.142.118.10,94.142.118.10,12956
94.142.118.10,5.53.1.63,12956
94.142.118.10,213.140.39.30,12956
94.142.118.10,94.142.127.43,12956
94.142.118.10,5.53.1.63,12956
5.53.1.63,213.140.39.30,12956
5.53.1.63,94.142.127.43,12956
5.53.1.63,213.140.35.116,12956
5.53.1.63,94.142.118.10,12956
5.53.1.63,5.53.1.63,12956
5.53.1.63,213.140.39.30,12956
5.53.1.63,94.142.127.43,12956
5.53.1.63,5.53.1.63,12956
186.105.96.1,191.112.23.7,7418
186.105.96.1,186.105.96.1,7418
186.105.96.1,191.112.23.7,7418
186.105.96.1,186.105.96.1,7418
186.105.96.1,191.112.23.7,7418
191.112.23.7,186.105.96.1,7418
191.112.23.7,191.112.23.7,7418
191.112.23.7,186.105.96.1,7418
191.112.23.7,191.112.23.7,7418
130.104.228.253,193.191.3.85,2611
130.104.228.253,130.104.228.253,2611
130.104.228.253,193.191.3.85,2611
10.255.235.51,10.255.218.62,No AS found
10.255.235.51,10.255.218.1,No AS found
10.255.235.51,10.28.87.213,No AS found
10.255.235.51,10.255.235.51,No AS found
10.255.235.51,10.255.218.62,No AS found
10.255.235.51,10.255.218.1,No AS found
10.255.235.51,10.28.87.213,No AS found
10.255.218.62,10.255.218.1,No AS found
10.255.218.62,10.28.87.213,No AS found
10.255.218.62,10.255.235.51,No AS found
10.255.218.62,10.255.218.62,No AS found
10.255.218.62,10.255.218.1,No AS found
10.255.218.62,10.28.87.213,No AS found
10.255.218.1,10.28.87.213,No AS found
10.255.218.1,10.255.235.51,No AS found
10.255.218.1,10.255.218.62,No AS found
10.255.218.1,10.255.218.1,No AS found
10.255.218.1,10.28.87.213,No AS found
193.191.3.85,130.104.228.253,2611
193.191.3.85,193.191.3.85,2611
10.28.87.213,10.255.235.51,No AS found
10.28.87.213,10.255.218.62,No AS found
10.28.87.213,10.255.218.1,No AS found
10.28.87.213,10.28.87.213,No AS found
154.25.12.245,154.54.57.165,174
154.25.12.245,130.117.1.46,174
154.25.12.245,154.25.12.245,174
154.25.12.245,130.117.48.233,174
154.25.12.245,130.117.0.166,174
154.54.57.165,130.117.1.46,174
154.54.57.165,154.25.12.245,174
154.54.57.165,130.117.48.233,174
154.54.57.165,130.117.0.166,174
130.117.1.46,154.25.12.245,174
130.117.1.46,130.117.48.233,174
130.117.1.46,130.117.0.166,174
213.140.39.30,94.142.127.43,12956
213.140.39.30,213.140.35.116,12956
213.140.39.30,94.142.118.10,12956
213.140.39.30,5.53.1.63,12956
213.140.39.30,213.140.39.30,12956
213.140.39.30,94.142.127.43,12956
213.140.39.30,5.53.1.63,12956
94.142.127.43,213.140.35.116,12956
94.142.127.43,94.142.118.10,12956
94.142.127.43,5.53.1.63,12956
94.142.127.43,213.140.39.30,12956
94.142.127.43,94.142.127.43,12956
94.142.127.43,5.53.1.63,12956
213.140.35.116,94.142.118.10,12956
213.140.35.116,5.53.1.63,12956
213.140.35.116,213.140.39.30,12956
213.140.35.116,94.142.127.43,12956
213.140.35.116,5.53.1.63,12956
94.142.118.10,5.53.1.63,12956
94.142.118.10,213.140.39.30,12956
94.142.118.10,94.142.127.43,12956
94.142.118.10,5.53.1.63,12956
5.53.1.63,213.140.39.30,12956
5.53.1.63,94.142.127.43,12956
5.53.1.63,5.53.1.63,12956
186.105.96.1,191.112.23.7,7418
186.105.96.1,186.105.96.1,7418
186.105.96.1,191.112.23.7,7418
191.112.23.7,186.105.96.1,7418
191.112.23.7,191.112.23.7,7418
130.104.228.253,193.191.3.85,2611
10.255.235.51,10.255.218.62,No AS found
10.255.235.51,10.255.218.1,No AS found
10.255.235.51,10.28.87.213,No AS found
10.255.218.62,10.255.218.1,No AS found
10.255.218.62,10.28.87.213,No AS found
10.255.218.1,10.28.87.213,No AS found
154.25.12.245,130.117.48.233,174
154.25.12.245,130.117.0.166,174
130.117.48.233,130.117.0.166,174
213.140.39.30,94.142.127.43,12956
213.140.39.30,5.53.1.63,12956
94.142.127.43,5.53.1.63,12956
186.105.96.1,191.112.23.7,7418
185.131.204.1,84.20.40.250,6730
185.131.204.1,84.20.39.213,6730
185.131.204.1,212.161.247.131,6730
185.131.204.1,185.131.204.1,6730
185.131.204.1,84.20.40.250,6730
185.131.204.1,84.20.39.213,6730
185.131.204.1,212.161.247.131,6730
185.131.204.1,185.131.204.1,6730
84.20.40.250,84.20.39.213,6730
84.20.40.250,212.161.247.131,6730
84.20.40.250,185.131.204.1,6730
84.20.40.250,84.20.40.250,6730
84.20.40.250,84.20.39.213,6730
84.20.40.250,212.161.247.131,6730
84.20.40.250,185.131.204.1,6730
84.20.39.213,212.161.247.131,6730
84.20.39.213,185.131.204.1,6730
84.20.39.213,84.20.40.250,6730
84.20.39.213,84.20.39.213,6730
84.20.39.213,212.161.247.131,6730
84.20.39.213,185.131.204.1,6730
84.116.202.105,84.116.134.21,6830
84.116.202.105,213.46.182.1,6830
84.116.202.105,84.116.202.105,6830
84.116.202.105,84.116.134.141,6830
84.116.202.105,84.116.211.138,6830
212.161.247.131,185.131.204.1,6730
212.161.247.131,84.20.40.250,6730
212.161.247.131,84.20.39.213,6730
212.161.247.131,212.161.247.131,6730
212.161.247.131,185.131.204.1,6730
84.116.134.21,213.46.182.1,6830
84.116.134.21,84.116.202.105,6830
84.116.134.21,84.116.134.141,6830
84.116.134.21,84.116.211.138,6830
213.46.182.1,84.116.202.105,6830
213.46.182.1,84.116.134.141,6830
213.46.182.1,84.116.211.138,6830
176.52.248.137,94.142.127.43,12956
176.52.248.137,5.53.1.63,12956
94.142.127.43,5.53.1.63,12956
186.105.96.1,191.112.23.7,7418
185.131.204.1,84.20.40.250,6730
185.131.204.1,84.20.39.213,6730
185.131.204.1,212.161.247.131,6730
185.131.204.1,185.131.204.1,6730
84.20.40.250,84.20.39.213,6730
84.20.40.250,212.161.247.131,6730
84.20.40.250,185.131.204.1,6730
84.20.39.213,212.161.247.131,6730
84.20.39.213,185.131.204.1,6730
84.116.202.105,84.116.134.141,6830
84.116.202.105,84.116.211.138,6830
212.161.247.131,185.131.204.1,6730
84.116.134.141,84.116.211.138,6830
212.25.28.235,212.25.28.238,8758
172.31.1.1,172.31.1.1,No AS found
172.31.1.1,172.31.1.1,No AS found
5.161.9.171,5.161.0.193,213230
5.161.9.171,5.161.0.85,213230
5.161.9.171,5.161.9.171,213230
5.161.9.171,5.161.0.145,213230
5.161.9.171,5.161.0.81,213230
5.161.9.171,5.161.9.171,213230
5.161.9.171,5.161.0.145,213230
5.161.9.171,5.161.0.81,213230
5.161.0.193,5.161.0.85,213230
5.161.0.193,5.161.9.171,213230
5.161.0.193,5.161.0.145,213230
5.161.0.193,5.161.0.81,213230
5.161.0.193,5.161.9.171,213230
5.161.0.193,5.161.0.145,213230
5.161.0.193,5.161.0.81,213230
5.161.0.85,5.161.9.171,213230
5.161.0.85,5.161.0.145,213230
5.161.0.85,5.161.0.81,213230
5.161.0.85,5.161.9.171,213230
5.161.0.85,5.161.0.145,213230
5.161.0.85,5.161.0.81,213230
157.238.230.238,129.250.5.6,2914
157.238.230.238,129.250.5.45,2914
157.238.230.238,129.250.8.118,2914
157.238.230.238,157.238.230.238,2914
157.238.230.238,129.250.5.6,2914
157.238.230.238,129.250.5.45,2914
157.238.230.238,129.250.8.118,2914
157.238.230.238,157.238.230.238,2914
157.238.230.238,129.250.5.6,2914
157.238.230.238,129.250.5.45,2914
157.238.230.238,129.250.8.118,2914
129.250.5.6,129.250.5.45,2914
129.250.5.6,129.250.8.118,2914
129.250.5.6,157.238.230.238,2914
129.250.5.6,129.250.5.6,2914
129.250.5.6,129.250.5.45,2914
129.250.5.6,129.250.8.118,2914
129.250.5.6,157.238.230.238,2914
129.250.5.6,129.250.5.6,2914
129.250.5.6,129.250.5.45,2914
129.250.5.6,129.250.8.118,2914
129.250.5.45,129.250.8.118,2914
129.250.5.45,157.238.230.238,2914
129.250.5.45,129.250.5.6,2914
129.250.5.45,129.250.5.45,2914
129.250.5.45,129.250.8.118,2914
129.250.5.45,157.238.230.238,2914
129.250.5.45,129.250.5.6,2914
129.250.5.45,129.250.5.45,2914
129.250.5.45,129.250.8.118,2914
129.250.8.118,157.238.230.238,2914
129.250.8.118,129.250.5.6,2914
129.250.8.118,129.250.5.45,2914
129.250.8.118,129.250.8.118,2914
129.250.8.118,157.238.230.238,2914
129.250.8.118,129.250.5.6,2914
129.250.8.118,129.250.5.45,2914
129.250.8.118,129.250.8.118,2914
213.140.49.246,94.142.118.10,12956
213.140.49.246,5.53.1.63,12956
213.140.49.246,5.53.1.63,12956
213.140.49.246,213.140.49.246,12956
213.140.49.246,94.142.118.10,12956
213.140.49.246,5.53.1.63,12956
94.142.118.10,5.53.1.63,12956
94.142.118.10,5.53.1.63,12956
94.142.118.10,213.140.49.246,12956
94.142.118.10,94.142.118.10,12956
94.142.118.10,5.53.1.63,12956
5.53.1.63,5.53.1.63,12956
5.53.1.63,213.140.49.246,12956
5.53.1.63,94.142.118.10,12956
5.53.1.63,5.53.1.63,12956
186.105.96.1,191.112.23.7,7418
186.105.96.1,186.105.96.1,7418
186.105.96.1,191.112.23.7,7418
186.105.96.1,186.105.96.1,7418
186.105.96.1,191.112.23.7,7418
191.112.23.7,186.105.96.1,7418
191.112.23.7,191.112.23.7,7418
191.112.23.7,186.105.96.1,7418
191.112.23.7,191.112.23.7,7418
172.31.1.1,172.31.1.1,No AS found
5.161.9.171,5.161.0.145,213230
5.161.9.171,5.161.0.81,213230
5.161.9.171,5.161.9.171,213230
5.161.9.171,5.161.0.145,213230
5.161.9.171,5.161.0.81,213230
5.161.0.145,5.161.0.81,213230
5.161.0.145,5.161.9.171,213230
5.161.0.145,5.161.0.145,213230
5.161.0.145,5.161.0.81,213230
5.161.0.81,5.161.9.171,213230
5.161.0.81,5.161.0.145,213230
5.161.0.81,5.161.0.81,213230
157.238.230.238,129.250.5.6,2914
157.238.230.238,129.250.5.45,2914
157.238.230.238,129.250.8.118,2914
157.238.230.238,157.238.230.238,2914
157.238.230.238,129.250.5.6,2914
157.238.230.238,129.250.5.45,2914
157.238.230.238,129.250.8.118,2914
129.250.5.6,129.250.5.45,2914
129.250.5.6,129.250.8.118,2914
129.250.5.6,157.238.230.238,2914
129.250.5.6,129.250.5.6,2914
129.250.5.6,129.250.5.45,2914
129.250.5.6,129.250.8.118,2914
129.250.5.45,129.250.8.118,2914
129.250.5.45,157.238.230.238,2914
129.250.5.45,129.250.5.6,2914
129.250.5.45,129.250.5.45,2914
129.250.5.45,129.250.8.118,2914
129.250.8.118,157.238.230.238,2914
129.250.8.118,129.250.5.6,2914
129.250.8.118,129.250.5.45,2914
129.250.8.118,129.250.8.118,2914
5.53.1.63,213.140.49.246,12956
5.53.1.63,94.142.118.10,12956
5.53.1.63,5.53.1.63,12956
186.105.96.1,191.112.23.7,7418
186.105.96.1,186.105.96.1,7418
186.105.96.1,191.112.23.7,7418
191.112.23.7,186.105.96.1,7418
191.112.23.7,191.112.23.7,7418
5.161.9.171,5.161.0.145,213230
5.161.9.171,5.161.0.81,213230
5.161.0.145,5.161.0.81,213230
157.238.230.238,129.250.5.6,2914
157.238.230.238,129.250.5.45,2914
157.238.230.238,129.250.8.118,2914
129.250.5.6,129.250.5.45,2914
129.250.5.6,129.250.8.118,2914
129.250.5.45,129.250.8.118,2914
213.140.49.246,94.142.118.10,12956
213.140.49.246,5.53.1.63,12956
94.142.118.10,5.53.1.63,12956
186.105.96.1,191.112.23.7,7418
80.77.4.57,85.95.25.94,15412
80.77.4.57,80.77.4.57,15412
80.77.4.57,85.95.25.94,15412
80.77.4.57,80.77.4.57,15412
80.77.4.57,85.95.25.94,15412
85.95.25.94,80.77.4.57,15412
85.95.25.94,85.95.25.94,15412
85.95.25.94,80.77.4.57,15412
85.95.25.94,85.95.25.94,15412
62.115.187.124,62.115.187.124,1299
62.115.187.124,62.115.187.124,1299
94.142.107.214,94.142.127.10,12956
94.142.107.214,84.16.12.158,12956
94.142.107.214,94.142.118.10,12956
94.142.107.214,5.53.1.63,12956
94.142.107.214,94.142.107.214,12956
94.142.107.214,213.140.38.243,12956
94.142.107.214,94.142.127.43,12956
94.142.107.214,213.140.35.116,12956
94.142.107.214,94.142.118.10,12956
94.142.107.214,5.53.1.63,12956
94.142.107.214,94.142.107.214,12956
94.142.107.214,94.142.127.10,12956
94.142.107.214,84.16.12.158,12956
94.142.107.214,5.53.1.63,12956
94.142.127.10,84.16.12.158,12956
94.142.127.10,94.142.118.10,12956
94.142.127.10,5.53.1.63,12956
94.142.127.10,94.142.107.214,12956
94.142.127.10,213.140.38.243,12956
94.142.127.10,94.142.127.43,12956
94.142.127.10,213.140.35.116,12956
94.142.127.10,94.142.118.10,12956
94.142.127.10,5.53.1.63,12956
94.142.127.10,94.142.107.214,12956
94.142.127.10,94.142.127.10,12956
94.142.127.10,84.16.12.158,12956
94.142.127.10,5.53.1.63,12956
84.16.12.158,94.142.118.10,12956
84.16.12.158,5.53.1.63,12956
84.16.12.158,94.142.107.214,12956
84.16.12.158,213.140.38.243,12956
84.16.12.158,94.142.127.43,12956
84.16.12.158,213.140.35.116,12956
84.16.12.158,94.142.118.10,12956
84.16.12.158,5.53.1.63,12956
84.16.12.158,94.142.107.214,12956
84.16.12.158,94.142.127.10,12956
84.16.12.158,84.16.12.158,12956
84.16.12.158,5.53.1.63,12956
94.142.118.10,5.53.1.63,12956
94.142.118.10,94.142.107.214,12956
94.142.118.10,213.140.38.243,12956
94.142.118.10,94.142.127.43,12956
94.142.118.10,213.140.35.116,12956
94.142.118.10,94.142.118.10,12956
94.142.118.10,5.53.1.63,12956
94.142.118.10,94.142.107.214,12956
94.142.118.10,94.142.127.10,12956
94.142.118.10,84.16.12.158,12956
94.142.118.10,5.53.1.63,12956
5.53.1.63,94.142.107.214,12956
5.53.1.63,213.140.38.243,12956
5.53.1.63,94.142.127.43,12956
5.53.1.63,213.140.35.116,12956
5.53.1.63,94.142.118.10,12956
5.53.1.63,5.53.1.63,12956
5.53.1.63,94.142.107.214,12956
5.53.1.63,94.142.127.10,12956
5.53.1.63,84.16.12.158,12956
5.53.1.63,5.53.1.63,12956
186.105.96.1,191.112.23.7,7418
186.105.96.1,186.105.96.1,7418
186.105.96.1,191.112.23.7,7418
186.105.96.1,186.105.96.1,7418
186.105.96.1,191.112.23.7,7418
191.112.23.7,186.105.96.1,7418
191.112.23.7,191.112.23.7,7418
191.112.23.7,186.105.96.1,7418
191.112.23.7,191.112.23.7,7418
80.77.4.57,85.95.25.94,15412
80.77.4.57,80.77.4.57,15412
80.77.4.57,85.95.25.94,15412
85.95.25.94,80.77.4.57,15412
85.95.25.94,85.95.25.94,15412
62.115.187.124,62.115.187.124,1299
94.142.107.214,213.140.38.243,12956
94.142.107.214,94.142.127.43,12956
94.142.107.214,213.140.35.116,12956
94.142.107.214,94.142.118.10,12956
94.142.107.214,5.53.1.63,12956
94.142.107.214,94.142.107.214,12956
94.142.107.214,94.142.127.10,12956
94.142.107.214,84.16.12.158,12956
94.142.107.214,5.53.1.63,12956
213.140.38.243,94.142.127.43,12956
213.140.38.243,213.140.35.116,12956
213.140.38.243,94.142.118.10,12956
213.140.38.243,5.53.1.63,12956
213.140.38.243,94.142.107.214,12956
213.140.38.243,94.142.127.10,12956
213.140.38.243,84.16.12.158,12956
213.140.38.243,5.53.1.63,12956
94.142.127.43,213.140.35.116,12956
94.142.127.43,94.142.118.10,12956
94.142.127.43,5.53.1.63,12956
94.142.127.43,94.142.107.214,12956
94.142.127.43,94.142.127.10,12956
94.142.127.43,84.16.12.158,12956
94.142.127.43,5.53.1.63,12956
213.140.35.116,94.142.118.10,12956
213.140.35.116,5.53.1.63,12956
213.140.35.116,94.142.107.214,12956
213.140.35.116,94.142.127.10,12956
213.140.35.116,84.16.12.158,12956
213.140.35.116,5.53.1.63,12956
94.142.118.10,5.53.1.63,12956
94.142.118.10,94.142.107.214,12956
94.142.118.10,94.142.127.10,12956
94.142.118.10,84.16.12.158,12956
94.142.118.10,5.53.1.63,12956
5.53.1.63,94.142.107.214,12956
5.53.1.63,94.142.127.10,12956
5.53.1.63,84.16.12.158,12956
5.53.1.63,5.53.1.63,12956
186.105.96.1,191.112.23.7,7418
186.105.96.1,186.105.96.1,7418
186.105.96.1,191.112.23.7,7418
191.112.23.7,186.105.96.1,7418
191.112.23.7,191.112.23.7,7418
80.77.4.57,85.95.25.94,15412
94.142.107.214,94.142.127.10,12956
94.142.107.214,84.16.12.158,12956
94.142.107.214,5.53.1.63,12956
94.142.127.10,84.16.12.158,12956
94.142.127.10,5.53.1.63,12956
84.16.12.158,5.53.1.63,12956
186.105.96.1,191.112.23.7,7418
